Code
BHIT
BABP
FREN
BCAP
BRMS
NICL
BBKP
BBYB
MLPL
BEKS
BUKA
CARE
ZINC
BULL
BKSW
ENRG
BGTG
MARI
CENT
BACA
DEAL
NATO
MCOR
BFIN
DUCK
BMTR
PNBS
BUMI
YELO
WOOD
EMTK
KPIG
AGRS
MSIN
JAST
KOTA
BBRI
AMAR
KREN
BOGA
TOWR
AGRO
BVIC
MNCN
TAMA
LUCY
IPTV
JSKY
BRPT
BOLA
MEDC
ANTM
PGAS
DNAR
LPKR
BANK
PRAS
ACST
ESSA
WSBP
SAME
FPNI
KRAS
ERAA
ISSP
CAMP
BBTN
LABA
BRIS
JKON
WIKA
MMLP
MDKA
ASII
PTSN
SMRA
ADRO
IMJS
BKSL
PPRO
KLBF
BEBS
BUDI
DMAS
ZYRX
DSNG
BNII
BMRI
TLKM
ABBA
LMAS
SOCI
TINS
HOKI
ASRI
DGIK
PPGL
WIFI
